TITLE;TYPE;LENGTH;TIME_SIGNATURE;TEMPO;DEFAULT_TIME_SIGNATURE;DEFAULT_TEMPO;DEFAULT_TIME_SIGNATURE_AND_TEMPO;POSITIVE[IF(TYPE==1&&NOT(DEFAULT_TIME_SIGNATURE_AND_TEMPO))];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
074-BRAHMS, Johannes - Piano Variations Op-9.mid;1;840.2304018458632; <meta message time_signature numerator=6 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=720>; <meta message set_tempo tempo=1034483 time=1200>;0;0;0;1;0;;;1854;;1854;
075-BRAHMS, Johannes - Rhapsodie Nr 2 from Op-79.mid;1;290.000000000001; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;-;;;;;;
076-BRAHMS, Johannes - Scherzo Op.4.mid;1;753.3575118749765; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=1440>;0;0;0;1;0;;;1851;;1851;
077-BRAHMS, Johannes - The Haendel Variations Op-24.mid;1;1487.5094007583418; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=240>; <meta message set_tempo tempo=812238 time=240>;0;0;0;1;1;;;;;;
078-BRAHMS, Johannes - Waltz 01.mid;1;54.42432829166675; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=370370 time=0>;0;0;0;1;0;;;1865;;1865;
079-BRAHMS, Johannes - Waltz 02.mid;1;69.99992999999978; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=476190 time=0>;0;0;0;1;0;;;1865;;1865;
080-BRAHMS, Johannes - Waltz 03.mid;1;38.36166666666673; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=400000 time=0>;0;0;0;1;0;;;1865;;1865;
081-BRAHMS, Johannes - Waltz 04.mid;1;89.17295069999994; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=560748 time=0>;0;0;0;1;0;;;1865;;1865;
082-BRAHMS, Johannes - Waltz 05.mid;1;63.809460000000165; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=476190 time=0>;0;0;0;1;0;;;1865;;1865;
083-BRAHMS, Johannes - Waltz 06.mid;1;68.23326509999991; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=333333 time=0>;0;0;0;1;0;;;1865;;1865;
084-BRAHMS, Johannes - Waltz 07.mid;1;94.54535999999983; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=454545 time=0>;0;0;0;1;0;;;1865;;1865;
085-BRAHMS, Johannes - Waltz 08.mid;1;72.42000000000006; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=400000 time=0>;0;0;0;1;0;;;1865;;1865;
086-BRAHMS, Johannes - Waltz 09.mid;1;55.34600799999999; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=422535 time=240>;0;0;0;1;0;;;1865;;1865;
087-BRAHMS, Johannes - Waltz 10.mid;1;33.21509635000006; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=348837 time=0>;0;0;0;1;0;;;1865;;1865;
088-BRAHMS, Johannes - Waltz 11.mid;1;100.33206749999992; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=419580 time=0>;0;0;0;1;0;;;1865;;1865;
089-BRAHMS, Johannes - Waltz 12.mid;1;78.00000000000014; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=400000 time=0>;0;0;0;1;0;;;1865;;1865;
090-BRAHMS, Johannes - Waltz 13.mid;1;41.19226650000004; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=419580 time=0>;0;0;0;1;0;;;1865;;1865;
091-BRAHMS, Johannes - Waltz 14.mid;1;72.18561124999869; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=384615 time=240>;0;0;0;1;0;;;1865;;1865;
092-BRAHMS, Johannes - Waltz 15.mid;1;62.41462012499993; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=476190 time=0>;0;0;0;1;0;;;1865;;1865;
093-BRAHMS, Johannes - Waltz 16.mid;1;44.522682750000094; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=454545 time=0>;0;0;0;1;0;;;1865;;1865;
